ï..country,year,life_expectancy,alcohol,health_spend,bmi,population
Sao Tome and Principe,2013,67.1,0.01,200.6600988,29.3,18745
Senegal,2013,66,0.26,11.8385319,23.2,141232
Serbia,2013,75.3,9.16,880.6403367,58.9,7164132
Seychelles,2013,72.9,0.01,1521.672751,35.5,89949
Sierra Leone,2013,54,0.01,1.321464076,23.3,692279
Slovenia,2013,85,9.53,259.7786785,58.9,259953
Solomon Islands,2013,68.8,0.01,24.73328608,48.9,563513
South Africa,2013,69,7.34,978.5905287,49.5,53311955.61
Spain,2013,82.4,9.25,423.680459,65.4,466245
Sri Lanka,2013,74.6,2.56,41.62053588,21.9,2585
Suriname,2013,71.2,6.02,1122.972967,57,54254
Swaziland,2013,57.6,0.01,708.9556648,31.2,1271456
Sweden,2013,81.9,7.3,1212.666327,58.5,96379
Switzerland,2013,83,9.73,19099.04506,56.6,889346
Tajikistan,2013,69.3,0.01,1.0419164,39,817789
Thailand,2013,74.5,6.5,788.6873403,31.3,6814365
Timor-Leste,2013,67.7,0.01,3.379874844,16.6,1184366
Togo,2013,59.4,0.01,48.73047089,23.1,742948
Tonga,2013,73.2,0.01,584.9449886,74.3,15328
Trinidad and Tobago,2013,71,6.71,167.2657906,45,1348248
Tunisia,2013,74.9,1.29,594.6453102,59.3,1114558
Turkey,2013,75.2,1.41,188.1440348,64.5,75787333
Turkmenistan,2013,65.4,2.93,63.7481117,46.7,5366277
Uganda,2013,67,0.01,90.76144414,17.6,37553726
Ukraine,2013,71,8.44,52.42529588,6.1,454896
Uruguay,2013,76.8,5.82,482.8039445,62.9,3485
Uzbekistan,2013,69.1,0.01,19.1624696,43,32432
Vanuatu,2013,71.6,0.01,447.545645,51.7,253142
Zambia,2013,63,2.41,20.62306285,22.3,1515321
Zimbabwe,2013,58,6.39,10.66670728,3.8,155456
